,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
359,2989755,Octeville,FR,49.63,-1.64,3.54,3.6,27,93
360,2400547,Gamba,GA,-2.65,10.0,24.1,2.42,100,94
361,217389,Demba,CD,-5.51,22.27,20.73,0.87,100,99
362,2013279,Vostok,RU,46.49,135.88,-3.29,2.59,76,83
363,352733,Marsá Maţrūḩ,EG,31.35,27.25,13.0,5.1,40,76
364,3374333,Praia,CV,14.92,-23.51,20.0,6.7,20,68
365,4031637,Lavrentiya,RU,65.58,-171.0,-0.59,5.7,100,96
366,4149959,Cape Canaveral,US,28.41,-80.6,22.21,3.6,1,83
367,3939761,Hualmay,PE,-11.1,-77.61,22.98,1.29,100,72
368,2013727,Vanavara,RU,60.34,102.28,-0.79,5.45,100,95
369,2121025,Srednekolymsk,RU,67.45,153.68,-16.65,2.19,100,88
370,3401845,Conceição do Araguaia,BR,-8.26,-49.26,22.12,1.12,62,98
371,1798760,Pingliang,CN,35.54,106.69,8.11,2.29,0,15
372,2260535,Brazzaville,CG,-4.27,15.28,25.0,1.58,75,94
373,5364022,La Palma,US,33.85,-118.05,11.8,2.1,90,87
374,3663503,Manicoré,BR,-5.81,-61.3,23.0,0.29,52,94
375,3881102,Machalí,CL,-34.18,-70.67,8.22,0.41,0,69
376,5501344,Carson City,US,39.16,-119.77,1.23,1.04,90,100
377,4956335,Yarmouth,US,41.71,-70.23,0.0,2.1,40,59
378,2016307,Solnechnyy,RU,50.72,136.63,-5.02,2.43,23,90
